Epoch,T_mid,Uncertainty,Label,Reference,Valid,T_mid_pre
0,2456054.856998856,0.0001820839363241,Others,2021ApJS..255...15W&2014A&A…562A.126M; 2013A&A…551A..80T,True,2456054.8572991816
23,2456125.41751,6.7e-05,Others,2013A&A...551A..80T,True,2456125.4178590216
26,2456134.621600639,0.0001677443946188,Others,2021ApJS..255...15W&2014A&A…562A.126M; 2013A&A…551A..80T,True,2456134.62141026
41,2456180.6390068154,0.0001917318435754,Others,2021ApJS..255...15W&2014A&A…562A.126M; 2013A&A…551A..80T,True,2456180.6391662965
132,2456459.813834146,8.591352972790286e-05,Others,2021ApJS..255...15W&2014A&A...562A.126M&2018MNRAS.474..876K; 2017MNRAS.468.3123S,True,2456459.813547371
142,2456490.49251,9.1e-05,Others,2014ApJ...790..108F,True,2456490.492050208
151,2456518.10335,0.00012,Others,2014ApJ...790..108F,True,2456518.102702664
154,2456527.30758,0.00016,Others,2014ApJ...790..108F,True,2456527.306253462
164,2456557.98585,0.00018,Others,2014ApJ...790..108F,True,2456557.984756049
169,2456573.32468,8.8e-05,Others,2014ApJ...790..108F,True,2456573.3240072997
251,2456824.88661,0.00091,Others,2017MNRAS.472.3871T,True,2456824.8877237802
478,2457521.29173,0.0006277,Others,2021ApJS..255...15W,True,2457521.2896803203
491,2457561.17460598,0.0007032775320112,HST,Ma et al. 2024,True,2457561.1717289835
510,2457619.46195,0.000102,Others,2018MNRAS.474..876K,True,2457619.4608766995
511,2457622.52991,0.000135,Others,2018MNRAS.474..876K,True,2457622.5287265684
637,2458009.07912,0.000669,Others,2021ApJS..255...15W,True,2458009.0778014795
1211,2459770.026577436,0.0001374404136102,TESS,Wang et al. 2024,True,2459770.0233800733
1212,2459773.094312198,0.0001332573121742,TESS,Wang et al. 2024,True,2459773.0912292297
1216,2459785.365718789,0.0001362148448322,TESS,Wang et al. 2024,True,2459785.362625846
1217,2459788.433606359,0.0001348289648836,TESS,Wang et al. 2024,True,2459788.430474998
1219,2459794.5692727,0.0001380901097656,TESS,Wang et al. 2024,True,2459794.5661732988
1236,2459846.7228301354,8.733833965379745e-06,JWST,This Work,True,2459846.719608698
1248,2459883.5371038844,2.0345418306533247e-05,JWST,This Work,True,2459883.533798229
